T,rho_B,mu,P,phi_u,phi_d,phi_s,Phi1,Phi2
131.03,2.8,296.08505999236473,21.054961054594685,-0.46544922912498204,-0.46544922912497944,-1.956411670065028,0.3071214259750588,0.3369133391715934
131.03,2.79,295.9095024397967,21.056818747301225,-0.4707834833708311,-0.47078348337082654,-1.9572182116694503,0.30663269779609187,0.3364775841527702
131.03,2.78,295.73758883772285,21.058700111203695,-0.4761670401869475,-0.4761670401869456,-1.9580263187914928,0.3061440577877606,0.33604229235118066
131.03,2.77,295.569340002828,21.060605062494854,-0.4815988201070653,-0.4815988201070674,-1.9588360360562185,0.3056554980523789,0.33560746008690945
131.03,2.76,295.4047731849615,21.062533489428617,-0.4870776941181954,-0.4870776941182006,-1.9596474060461795,0.30516700891646087,0.33517308182269845
131.03,2.75,295.24390201582,21.064485266537577,-0.4926024862965411,-0.4926024862965427,-1.9604604692289413,0.3046785789201184,0.3347391501487763
131.03,2.74,295.086736471862,21.066460233831318,-0.49817197663719326,-0.49817197663718843,-1.9612752638931876,0.3041901948131647,0.3343056557748052
131.03,2.73,294.93328285167695,21.068458210889936,-0.5037849040586945,-0.503784904058698,-1.9620918260933486,0.3037018415579861,0.333872587529035
131.03,2.72,294.7835437678475,21.070478993827248,-0.5094399695613504,-0.5094399695613472,-1.962910189603458,0.3032135023390866,0.33343993236458674
131.03,2.71,294.6375181532971,21.07252235575361,-0.5151358395182205,-0.515135839518219,-1.963730385880059,0.3027251585792505,0.3330076753728313
131.03,2.7,294.495201281885,21.074588047326596,-0.5208711490750242,-0.5208711490750222,-1.9645524440346087,0.3022367899621225,0.3325757998036707
131.03,2.69,294.35658480295945,21.076675797385846,-0.5266445056361149,-0.52664450563612,-1.9653763908152189,0.30174837446100744,0.3321442870925337
131.03,2.68,294.22165678942923,21.078785313666554,-0.532454492412357,-0.5324544924123552,-1.966202250597759,0.3012598883736138,0.33171311689381233
131.03,2.67,294.09040179877286,21.080916283585918,-0.5382996720066408,-0.5382996720066421,-1.967030045386172,0.3007713063624094,0.33128226712040526
131.03,2.66,293.96280094636484,21.083068375096417,-0.5441785900138383,-0.5441785900138402,-1.9678597948217968,0.3002826015002338,0.33085171398900615
131.03,2.65,293.8388319903497,21.08524123759917,-0.5500897786116481,-0.5500897786116524,-1.968691516201398,0.2997937453207734,0.33042143207073327
131.03,2.64,293.71846942722755,21.087434502910284,-0.5560317601198435,-0.5560317601198376,-1.969525224503569,0.29930470787343955,0.3299913943466259
131.03,2.63,293.6016845972718,21.089647786273048,-0.562003050506856,-0.5620030505068542,-1.970360932423082,0.29881545778222274,0.3295615722675623
131.03,2.62,293.4884457988178,21.091880687408324,-0.5680021628234492,-0.5680021628234522,-1.971198650412704,0.29832596230802344,0.3291319358180796
131.03,2.61,293.37871841042806,21.09413279159596,-0.5740276105447458,-0.5740276105447512,-1.9720383867319855,0.2978361874139804,0.32870245358359074
131.03,2.6,293.2724650199237,21.096403670779402,-0.5800779108037595,-0.580077910803761,-1.9728801475024549,0.29734609783329363,0.3282730928204716
131.03,2.59,293.16964555924375,21.09869288468652,-0.5861515875009632,-0.5861515875009603,-1.9737239367686088,0.2968556571390614,0.32784381952850705
131.03,2.58,293.07021744410696,21.10099998195932,-0.5922471742765778,-0.5922471742765795,-1.9745697565641893,0.2963648278156204,0.3274145985251568
131.03,2.57,292.97413571744477,21.103324501285748,-0.5983632173337634,-0.5983632173337654,-1.9754176069829732,0.2958735713309313,0.3269853935211511
