T,rho_B,mu_B,P
131.03,1.2,288.8316567137849,21.436519394956456
131.03,1.19,288.7370735683987,21.438534065611346
131.03,1.18,288.639776824678,21.440540232855486
131.03,1.17,288.53971227608776,21.442537889024344
131.03,1.16,288.4368244853965,21.444527026627284
131.03,1.15,288.33105673576176,21.44650763832629
131.03,1.14,288.2223509797903,21.448479716914658
131.03,1.13,288.1106477865331,21.450443255296275
131.03,1.12,287.9958862861716,21.452398246464767
131.03,1.11,287.87800411246866,21.454344683483026
131.03,1.1,287.7569373425438,21.45628255946286
131.03,1.09,287.63262043406826,21.458211867544783
131.03,1.08,287.5049861594246,21.460132600877987
131.03,1.07,287.3739655381786,21.46204475260048
131.03,1.06,287.2394877772572,21.463948315820183
131.03,1.05,287.10148025131895,21.465843283596573
131.03,1.04,286.9598683919933,21.467729648912492
131.03,1.03,286.81457301975445,21.46960740462487
131.03,1.02,286.66551063022456,21.471476543750768
131.03,1.01,286.5128047453076,21.473337051620653
131.03,1.0,286.3558266939626,21.475188933583052
131.03,0.99,286.1949959333505,21.477032177365416
131.03,0.98,286.0300661392882,21.478866774047393
131.03,0.97,285.86094627061397,21.480692715563027
131.03,0.96,285.6875425187353,21.48250999361939
131.03,0.95,285.5097581985242,21.484318599673987
131.03,0.94,285.32749362151014,21.48611852491458
131.03,0.93,285.14064596238643,21.48790976023831
131.03,0.92,284.94910911839116,21.48969229623086
131.03,0.91,284.7527735610974,21.491466123145237
131.03,0.9,284.551526180105,21.49323123088017
131.03,0.89,284.34525011808745,21.494987608958404
131.03,0.88,284.13382459661193,21.49673524650417
131.03,0.87,283.91712473209117,21.49847413222083
131.03,0.86,283.6950213411864,21.500204254367393
131.03,0.85,283.4673807349143,21.501925600735103
131.03,0.84,283.2340645006608,21.50363815862302
131.03,0.83,282.9949292712255,21.505341914813293
131.03,0.82,282.74982647995654,21.507036855545515
131.03,0.81,282.4986021009457,21.508722966490513
131.03,0.8,282.24109637317633,21.510400232723317
131.03,0.79,281.9771435074031,21.512068638695244
131.03,0.78,281.70657137445164,21.513728168204956
131.03,0.77,281.42920117348893,21.51537880436872
131.03,0.76,281.1448470787041,21.517020529589292
131.03,0.75,280.85331586267023,21.518653325523857
131.03,0.74,280.5544064945219,21.52027717305049
131.03,0.73,280.2479097108775,21.521892052233323
131.03,0.72,279.9336075572638,21.523497942286088
131.03,0.71,279.6112728975572,21.525094821534054
131.03,0.7,279.28066888872223,21.52668266737425
131.03,0.69,278.9415484178525,21.528261456233558
131.03,0.68,278.5936534982089,21.52983116352474
131.03,0.67,278.23671462061094,21.531391763600404
131.03,0.66,277.87045005615374,21.532943229703942
131.03,0.65,277.4945651057886,21.534485533918364
131.03,0.64,277.1087512918262,21.536018647111586
131.03,0.63,276.71268548587364,21.537542538878885
131.03,0.62,276.3060289671025,21.539057177481542
131.03,0.61,275.8884264040487,21.5405625297818
131.03,0.6,275.45950475236344,21.542058561173505
131.03,0.59,275.0188720600352,21.54354523550804
131.03,0.58,274.5661161705933,21.545022515015372
131.03,0.57,274.1008033136502,21.54649036021929
131.03,0.56,273.62247657080763,21.547948729846727
131.03,0.55,273.1306542034621,21.54939758073017
131.03,0.54,272.62482782729836,21.550836867702667
131.03,0.53,272.1044604162731,21.552266543484738
131.03,0.52,271.56898411660626,21.553686558561974
131.03,0.51,271.0177978486322,21.555096861052874
131.03,0.5,270.4502646713121,21.556497396565245
131.03,0.49,269.8657088806289,21.557888108040345
131.03,0.48,269.2634128089347,21.559268935583177
131.03,0.47,268.64261328747807,21.560639816277494
131.03,0.46,268.00249772863407,21.562000683983257
131.03,0.45,267.3421997776767,21.5633514691151
131.03,0.44,266.66079447605347,21.564692098398957
131.03,0.43,265.95729286875246,21.566022494604272
131.03,0.42,265.2306359772714,21.567342576248603
131.03,0.41,264.47968804643546,21.5686522572712
131.03,0.4,263.7032289574765,21.56995144667088
131.03,0.39,262.89994568065964,21.57124004810382
131.03,0.38,262.06842261776626,21.57251795943541
131.03,0.37,261.2071306567291,21.573785072239147
131.03,0.36,260.3144147266541,21.57504127123518
131.03,0.35,259.38847959968365,21.57628643365896
131.03,0.34,258.4273714984739,21.57752042897298
131.03,0.33,257.4289676712131,21.57874311640378
131.03,0.32,256.39094282771066,21.57995434645844
131.03,0.31,255.31075192899624,21.581153958291868
131.03,0.3,254.18559921879861,21.58234177890062
131.03,0.29,253.01240421398924,21.583517621747955
131.03,0.28,251.7877617257377,21.584681285175996
131.03,0.27,250.50789460818578,21.58583255056225
131.03,0.26,249.16859758696077,21.58697118016901
131.03,0.25,247.76517006718393,21.588096914620078
131.03,0.24,246.2923352200166,21.589209469922576
131.03,0.23,244.7441418414934,21.590308533929445
131.03,0.22,243.113844385474,21.59139376210838
131.03,0.21,241.39375507381507,21.592464772442675
131.03,0.2,239.57505990250303,21.593521139236135
131.03,0.19,237.647587421769,21.594562385518948
131.03,0.18,235.59951495378422,21.595587973646882
131.03,0.17,233.41699076710458,21.59659729353882
131.03,0.16,231.08364159761624,21.597589647782772
131.03,0.15,228.57992105394717,21.59856423252528
131.03,0.14,225.88223293205834,21.59952011258445
131.03,0.13,222.96172916570885,21.600456188494046
131.03,0.12,219.78262581909266,21.601371152025706
131.03,0.11,216.29978487979946,21.60226342483905
131.03,0.1,212.45514076289373,21.60313107169744
131.03,0.09,208.1722386471222,21.60397167401684
131.03,0.08,203.3475446318501,21.60478213901737
131.03,0.07,197.83592777216126,21.60555839914165
131.03,0.06,191.4248875481389,21.60629491302977
131.03,0.05,183.78510665836544,21.606983779640096
131.03,0.04,174.3652458755215,21.607613020458817
131.03,0.03,162.13299905814864,21.608162814820354
131.03,0.02,144.77716728369512,21.608595589655465
131.03,0.01,114.99267197650893,21.608820346502725
131.03,0.001,28.375502959475735,21.608576291004127
