T,theta,sigma_u,sigma_d,sigma_s,eta_u,eta_d,eta_s,Phi1,Phi2
100.0,0.88,1.68090301221852,1.6809030122185267,2.2261247953896626,-0.7478457748427888,-0.7478457748427745,-0.029233487999951673,0.0038209314406301422,0.0038209314406301422
100.0,0.89,1.6772489553609344,1.6772489553609484,2.226108614004076,-0.7558254294582177,-0.7558254294581896,-0.02954541479728083,0.0038215953833347725,0.0038215953833347725
100.0,0.9,1.6735559465685803,1.6735559465685832,2.226092271713337,-0.7637876692879173,-0.7637876692879142,-0.029856660846057908,0.0038222665410689643,0.0038222665410689643
100.0,0.91,1.6698240641701643,1.669824064170148,2.226075769233556,-0.7717323079195005,-0.7717323079195353,-0.030167218859371604,0.0038229449039931386,0.0038229449039931386
100.0,0.92,1.666053387344627,1.6660533873446182,2.2260591072875626,-0.7796591592517532,-0.779659159251772,-0.030477081562475118,0.0038236304621489794,0.0038236304621489794
100.0,0.93,1.662243996120323,1.6622439961203217,2.2260422866048533,-0.7875680374980653,-0.7875680374980639,-0.030786241692923353,0.0038243232054591893,0.0038243232054591893
100.0,0.9400000000000001,1.6583959713741276,1.6583959713741183,2.2260253079215584,-0.7954587571899865,-0.7954587571900053,-0.031094692000706397,0.003825023123727203,0.003825023123727203
100.0,0.9500000000000001,1.6545093948305387,1.654509394830542,2.2260081719804,-0.8033311331807961,-0.8033311331807873,-0.03140242524838712,0.0038257302066368715,0.0038257302066368715
100.0,0.96,1.6505843490608547,1.650584349060856,2.2259908795306402,-0.8111849806488455,-0.8111849806488455,-0.03170943421124221,0.0038264444437522307,0.0038264444437522307
100.0,0.97,1.646620917482215,1.6466209174822164,2.2259734313280477,-0.8190201151012235,-0.8190201151012177,-0.03201571167739361,0.003827165824517169,0.003827165824517169
100.0,0.98,1.6426191843567213,1.6426191843567381,2.2259558281348504,-0.8268363523771701,-0.8268363523771375,-0.03232125044794828,0.00382789433825515,0.00382789433825515
100.0,0.99,1.6385792347905244,1.6385792347905608,2.2259380707196867,-0.8346335086515934,-0.8346335086515269,-0.032626043337136215,0.0038286299741689565,0.0038286299741689565
100.0,1.0,1.634501154732912,1.6345011547329225,2.22592015985757,-0.8424114004385542,-0.8424114004385326,-0.03293008317244378,0.0038293727213403396,0.0038293727213403396
100.0,1.01,1.6303850309752819,1.6303850309752943,2.225902096329837,-0.8501698445949101,-0.8501698445948865,-0.033233362794756936,0.003830122568729761,0.003830122568729761
100.0,1.02,1.6262309511503046,1.6262309511503057,2.2258838809241066,-0.8579086583236354,-0.8579086583236335,-0.03353587505849107,0.003830879505176098,0.003830879505176098
100.0,1.03,1.6220390037308798,1.6220390037308943,2.2258655144342274,-0.8656276591774874,-0.8656276591774599,-0.03383761283173629,0.0038316435193963124,0.0038316435193963124
100.0,1.04,1.6178092780292221,1.617809278029238,2.225846997660241,-0.8733266650623883,-0.8733266650623579,-0.03413856899638677,0.003832414599985188,0.003832414599985188
100.0,1.05,1.6135418641958323,1.6135418641958386,2.2258283314083345,-0.8810054942410342,-0.8810054942410256,-0.03443873644828482,0.003833192735415001,0.003833192735415001
100.0,1.06,1.6092368532185124,1.6092368532185093,2.225809516490779,-0.888663965336407,-0.8886639653364118,-0.034738108097353344,0.0038339779140352283,0.0038339779140352283
100.0,1.07,1.6048943369213744,1.6048943369213513,2.2257905537259055,-0.8963018973352296,-0.89630189733527,-0.03503667686773807,0.003834770124072223,0.003834770124072223
100.0,1.08,1.6005144079637719,1.600514407963779,2.225771443938041,-0.9039191095915936,-0.9039191095915798,-0.03533443569793888,0.0038355693536289465,0.0038355693536289465
100.0,1.09,1.596097159839379,1.596097159839401,2.225752187957469,-0.9115154218302871,-0.9115154218302494,-0.0356313775409541,0.0038363755906846066,0.0038363755906846066
100.0,1.1,1.5916426868750517,1.5916426868750555,2.2257327866203727,-0.9190906541504857,-0.9190906541504792,-0.03592749536441282,0.0038371888230943787,0.0038371888230943787
100.0,1.11,1.5871510842297818,1.5871510842297678,2.2257132407687963,-0.9266446270292625,-0.9266446270292871,-0.03622278215071441,0.0038380090385890728,0.0038380090385890728
100.0,1.12,1.5826224478936577,1.5826224478936606,2.2256935512505884,-0.9341771613250643,-0.9341771613250606,-0.036517230897170204,0.003838836224774854,0.003838836224774854
100.0,1.1300000000000001,1.5780568746868313,1.5780568746868227,2.225673718919361,-0.9416880782811736,-0.9416880782811866,-0.036810834616132805,0.003839670369132858,0.003839670369132858
100.0,1.1400000000000001,1.573454462258328,1.5734544622583406,2.2256537446344287,-0.949177199529392,-0.9491771995293713,-0.03710358633514162,0.0038405114590189587,0.0038405114590189587
100.0,1.1500000000000001,1.568815309085078,1.5688153090850716,2.2256336292607664,-0.9566443470933796,-0.9566443470933891,-0.03739547909705735,0.0038413594816633606,0.0038413594816633606
100.0,1.16,1.5641395144706531,1.5641395144706651,2.2256133736689634,-0.9640893433923976,-0.9640893433923786,-0.03768650596019826,0.0038422144241703625,0.0038422144241703625
100.0,1.17,1.5594271785443103,1.5594271785443101,2.225592978735157,-0.9715120112446075,-0.9715120112446088,-0.03797665999848295,0.0038430762735179474,0.0038430762735179474
100.0,1.18,1.5546784022597178,1.5546784022597093,2.2255724453409975,-0.9789121738707968,-0.9789121738708114,-0.03826593430156427,0.0038439450165575328,0.0038439450165575328
100.0,1.19,1.5498932873939,1.5498932873938698,2.225551774373592,-0.9862896548977924,-0.9862896548978366,-0.03855432197496927,0.0038448206400135774,0.0038448206400135774
100.0,1.2,1.5450719365459948,1.5450719365459977,2.225530966725452,-0.9936442783620841,-0.9936442783620844,-0.038841816140234936,0.0038457031304833444,0.0038457031304833444
100.0,1.21,1.5402144531362316,1.5402144531362263,2.2255100232944334,-1.0009758687132013,-1.0009758687132067,-0.0391284099350509,0.003846592474436466,0.003846592474436466
100.0,1.22,1.5353209414045763,1.5353209414045752,2.2254889449836974,-1.0082842508174432,-1.008284250817448,-0.03941409651339341,0.003847488658214685,0.003847488658214685
100.0,1.23,1.5303915064096545,1.5303915064096498,2.225467732701653,-1.0155692499612936,-1.0155692499613005,-0.03969886904566472,0.003848391668031489,0.003848391668031489
100.0,1.24,1.5254262540275016,1.5254262540274937,2.2254463873619024,-1.0228306918549903,-1.022830691855001,-0.03998272071883396,0.0038493014899718065,0.0038493014899718065
100.0,1.25,1.5204252909503377,1.5204252909503413,2.225424909883187,-1.0300684026360807,-1.0300684026360771,-0.04026564473656896,0.003850218109991661,0.003850218109991661
100.0,1.26,1.5153887246854139,1.5153887246853737,2.2254033011893353,-1.0372822088728868,-1.0372822088729448,-0.040547634319384886,0.0038511415139178,0.0038511415139178
100.0,1.27,1.51031666355358,1.5103166635536038,2.2253815622092126,-1.0444719375682674,-1.0444719375682323,-0.0408286827047699,0.0038520716874474187,0.0038520716874474187
100.0,1.28,1.5052092166883502,1.5052092166883417,2.225359693876662,-1.0516374161627393,-1.0516374161627515,-0.04110878314733633,0.0038530086161477862,0.0038530086161477862
100.0,1.29,1.5000664940342923,1.5000664940342703,2.2253376971304464,-1.0587784725385065,-1.058778472538536,-0.04138792891895222,0.0038539522854559275,0.0038539522854559275
100.0,1.3,1.4948886063459403,1.4948886063459448,2.225315572914203,-1.0658949350227163,-1.0658949350227138,-0.041666113308877165,0.0038549026806782515,0.0038549026806782515
100.0,1.31,1.489675665186527,1.4896756651865235,2.2252933221763835,-1.072986632391002,-1.0729866323910078,-0.04194332962391061,0.0038558597869902396,0.0038558597869902396
100.0,1.32,1.4844277829265518,1.484427782926543,2.2252709458701996,-1.080053393871177,-1.0800533938711891,-0.04221957118851932,0.003856823589436098,0.003856823589436098
100.0,1.33,1.4791450727425572,1.4791450727425546,2.2252484449535594,-1.0870950491466767,-1.0870950491466822,-0.04249483134498496,0.0038577940729284214,0.0038577940729284214
100.0,1.34,1.473827648615787,1.4738276486157709,2.2252258203890256,-1.0941114283601212,-1.0941114283601407,-0.0427691034535385,0.0038587712222478325,0.0038587712222478325
100.0,1.35,1.4684756253308033,1.4684756253307918,2.225203073143756,-1.1011023621169118,-1.1011023621169262,-0.043042380892499565,0.0038597550220426336,0.0038597550220426336
100.0,1.36,1.4630891184741885,1.4630891184741694,2.2251802041894297,-1.10806768148872,-1.1080676814887431,-0.04331465705841488,0.003860745456828519,0.003860745456828519
100.0,1.37,1.4576682444331188,1.4576682444331337,2.225157214502212,-1.1150072180171084,-1.1150072180170887,-0.043585925366201754,0.003861742510988157,0.003861742510988157
100.0,1.3800000000000001,1.452213120394082,1.4522131203940618,2.2251341050626885,-1.1219208037169646,-1.1219208037169912,-0.04385617924927774,0.0038627461687708907,0.0038627461687708907
100.0,1.3900000000000001,1.4467238643412974,1.4467238643413332,2.2251108768558043,-1.1288082710802971,-1.128808271080251,-0.04412541215970893,0.0038637564142923572,0.0038637564142923572
100.0,1.4000000000000001,1.4412005950555895,1.4412005950555908,2.225087530870814,-1.1356694530794218,-1.1356694530794182,-0.044393617568343265,0.003864773231534181,0.003864773231534181
100.0,1.41,1.435643432112671,1.4356434321126503,2.2250640681012137,-1.1425041831709115,-1.1425041831709384,-0.044660788964950265,0.0038657966043436046,0.0038657966043436046
100.0,1.42,1.4300524958818763,1.43005249588189,2.2250404895446954,-1.1493122952989379,-1.1493122952989183,-0.0449269198583655,0.0038668265164331387,0.0038668265164331387
100.0,1.43,1.4244279075247621,1.4244279075247661,2.225016796203075,-1.1560936238987696,-1.1560936238987647,-0.04519200377662157,0.0038678629513802204,0.0038678629513802204
100.0,1.44,1.4187697889934994,1.4187697889934903,2.2249929890822444,-1.1628480039005298,-1.162848003900542,-0.04545603426709161,0.003868905892626845,0.003868905892626845
100.0,1.45,1.4130782630294687,1.4130782630295107,2.2249690691921065,-1.1695752707326579,-1.1695752707326106,-0.04571900489663053,0.003869955323479264,0.003869955323479264
100.0,1.46,1.4073534531618928,1.4073534531618817,2.2249450375465174,-1.1762752603253435,-1.1762752603253555,-0.045980909251708627,0.003871011227107597,0.003871011227107597
100.0,1.47,1.401595483706061,1.4015954837060516,2.224920895163226,-1.1829478091144043,-1.1829478091144148,-0.0462417409385547,0.0038720735865455003,0.0038720735865455003
100.0,1.48,1.3958044797621034,1.395804479762089,2.224896643063816,-1.1895927540445275,-1.1895927540445443,-0.0465014935832968,0.0038731423846897943,0.0038731423846897943
100.0,1.49,1.3899805672132828,1.389980567213297,2.2248722822736484,-1.196209932573039,-1.1962099325730218,-0.04676016083209755,0.0038742176043001374,0.0038742176043001374
100.0,1.5,1.384123872724577,1.3841238727245695,2.224847813821791,-1.202799182673323,-1.2027991826733335,-0.04701773635129435,0.0038752992279986794,0.0038752992279986794
100.0,1.51,1.3782345237409912,1.3782345237409939,2.2248232387409685,-1.209360342838559,-1.2093603428385569,-0.04727421382754475,0.0038763872382696902,0.0038763872382696902
100.0,1.52,1.3723126484861035,1.372312648486122,2.2247985580674983,-1.2158932520851384,-1.2158932520851178,-0.047529586967953986,0.0038774816174592403,0.0038774816174592403
100.0,1.53,1.366358375960444,1.3663583759604812,2.22477377284123,-1.2223977499562926,-1.2223977499562522,-0.047783849500227155,0.0038785823477748187,0.0038785823477748187
100.0,1.54,1.3603718359399246,1.3603718359399135,2.224748884105479,-1.2288736765256378,-1.2288736765256483,-0.048036995172800405,0.003879689411285009,0.003879689411285009
100.0,1.55,1.3543531589741284,1.3543531589740987,2.224723892906972,-1.2353208724008449,-1.235320872400876,-0.04828901775498437,0.003880802789919124,0.003880802789919124
100.0,1.56,1.3483024763848148,1.3483024763847764,2.2246988002957835,-1.2417391787270675,-1.2417391787271117,-0.04853991103710036,0.0038819224654668845,0.0038819224654668845
100.0,1.57,1.3422199202642018,1.3422199202642207,2.224673607325272,-1.248128437190628,-1.2481284371906072,-0.04878966883062536,0.003883048419578027,0.003883048419578027
100.0,1.58,1.336105623473431,1.3361056234734376,2.2246483150520207,-1.2544884900224216,-1.2544884900224167,-0.0490382849683255,0.003884180633761997,0.003884180633761997
100.0,1.59,1.3299597196407347,1.3299597196406947,2.224622924535773,-1.2608191800017086,-1.2608191800017483,-0.04928575330440025,0.0038853190893875823,0.0038853190893875823
100.0,1.6,1.323782343159807,1.323782343159781,2.224597436839363,-1.2671203504596025,-1.2671203504596296,-0.049532067714619994,0.0038864637676825796,0.0038864637676825796
100.0,1.61,1.3175736291881848,1.31757362918823,2.2245718530286718,-1.2733918452825865,-1.27339184528254,-0.049777222096466706,0.0038876146497334218,0.0038876146497334218
100.0,1.62,1.3113337136455876,1.3113337136455792,2.2245461741725494,-1.2796335089160278,-1.2796335089160336,-0.050021210369272005,0.0038887717164848594,0.0038887717164848594
100.0,1.6300000000000001,1.3050627332119134,1.305062733211903,2.224520401342753,-1.285845186368038,-1.2858451863680487,-0.05026402647435682,0.003889934948739605,0.003889934948739605
100.0,1.6400000000000001,1.2987608253258054,1.2987608253258092,2.2244945356138874,-1.2920267232127494,-1.2920267232127474,-0.05050566437517773,0.0038911043271579906,0.0038911043271579906
