T,rho_B,mu_B
100.0,0.81,336.2625302149085
100.0,0.8,336.236211845626
100.0,0.79,336.20497565378435
100.0,0.78,336.1686835417749
100.0,0.77,336.1271923941215
100.0,0.76,336.08035380595385
100.0,0.75,336.028013793759
100.0,0.74,335.9700124870074
100.0,0.73,335.90618379904674
100.0,0.72,335.83635507556187
100.0,0.71,335.7603467186975
100.0,0.7,335.6779717847724
100.0,0.69,335.5890355532927
100.0,0.68,335.4933350647341
100.0,0.67,335.3906586243255
100.0,0.66,335.28078526874054
100.0,0.65,335.16348419229905
100.0,0.64,335.0385141289128
100.0,0.63,334.90562268557886
100.0,0.62,334.7645456227303
100.0,0.61,334.6150060763237
100.0,0.6,334.45671371580687
100.0,0.59,334.2893638315237
100.0,0.58,334.1126363443154
100.0,0.57,333.9261947291992
100.0,0.56,333.7296848439396
100.0,0.55,333.5227336523138
100.0,0.54,333.30494783045697
100.0,0.53,333.0759122431702
100.0,0.52,332.8351882754588
100.0,0.51,332.58231200216704
100.0,0.5,332.3167921744442
100.0,0.49,332.03810799101444
100.0,0.48,331.7457065964283
100.0,0.47,331.4390002661654
100.0,0.46,331.11736402769185
100.0,0.45,330.7801390417549
100.0,0.44,330.4266295922168
100.0,0.43,330.0556459535716
100.0,0.42,329.66747760166464
100.0,0.41,329.2602361532389
100.0,0.4,328.8333091907371
100.0,0.39,328.3856900229237
100.0,0.38,327.9162935825289
100.0,0.37,327.42394821328435
100.0,0.36,326.90738617148253
100.0,0.35,326.3652327893632
100.0,0.34,325.7959926133657
100.0,0.33,325.19804075059244
100.0,0.32,324.5695982823234
100.0,0.31,323.9087184486943
100.0,0.3,323.2132631786074
100.0,0.29,322.48087713053343
100.0,0.28,321.7089571766187
100.0,0.27,320.8946163352106
100.0,0.26,320.0346408938999
100.0,0.25,319.1254391195501
100.0,0.24,318.1629794931912
100.0,0.23,317.1427157927585
100.0,0.22,316.0594955128307
100.0,0.21,314.907446966062
100.0,0.2,313.6798388191713
100.0,0.19,312.3689035704528
100.0,0.18,310.9656132568581
100.0,0.17,309.45939098531323
100.0,0.16,307.8377349088513
100.0,0.15,306.08572068542895
100.0,0.14,304.18533201919985
100.0,0.13,302.114542673204
100.0,0.12,299.84603029415126
100.0,0.11,297.3453292653933
100.0,0.1,294.56810068192414
100.0,0.09,291.4559590235751
100.0,0.08,287.92983043906304
100.0,0.07,283.87885269605863
100.0,0.06,279.14066052017625
100.0,0.05,273.46353345577796
100.0,0.04,266.425767261152
100.0,0.03,257.23681391844616
100.0,0.02,244.12184747415563
100.0,0.01,221.41760730776596
100.0,0.001,145.03088360021604
100.0,0.0005,121.96259080529788
100.0,0.0001,68.84842924624117
100.0,5.0e-5,47.22558240991906
100.0,1.0e-5,12.633322344279906
100.0,5.0e-6,6.42908481153375
100.0,1.0e-6,1.29347610800711
100.0,5.0e-7,0.6468617696562649
100.0,1.0e-7,0.1293801505152586
100.0,5.0e-8,0.0646904028447149
100.0,1.0e-8,0.01293802858999841
