T,phi1,phi2,phi3,Phi1,Phi2,rhov
200.0,-0.7281758984056199,-0.7281758984056199,-1.79395198353657,0.6058422837160093,0.6058422837160093,-2.975834932963311e-20
199.0,-0.7774368828816028,-0.7774368828816031,-1.809668153078774,0.6000082720974875,0.6000082720974875,-4.483755087748138e-22
198.0,-0.8260621749609669,-0.8260621749609672,-1.8253967750169364,0.593951127980692,0.593951127980692,-6.2622070861702855e-24
197.0,-0.873607423252052,-0.8736074232520522,-1.8410411416169745,0.5876726208078157,0.5876726208078157,2.824820676951227e-20
196.0,-0.9197662228396262,-0.9197662228396255,-1.8565191885410497,0.5811732365187229,0.5811732365187229,-2.750098872900735e-21
195.0,-0.9643497252652974,-0.9643497252652967,-1.871765489335272,0.574451437435202,0.574451437435202,-3.088713170083024e-21
194.0,-1.0072609634631198,-1.0072609634631204,-1.886730754806484,0.5675032477752259,0.5675032477752259,-2.6944942484421176e-20
193.0,-1.04847038012988,-1.0484703801298807,-1.9013800159400298,0.56032204095699,0.56032204095699,-2.657856266327722e-20
192.0,-1.087995439568694,-1.0879954395686933,-1.9156903356377972,0.5528984187225446,0.5528984187225446,2.364959481956091e-21
191.0,-1.1258849542203606,-1.125884954220363,-1.9296485456469787,0.545220101741401,0.545220101741401,2.2015307345848773e-21
190.0,-1.1622076726992558,-1.1622076726992576,-1.943249248617384,0.5372717775466389,0.5372717775466389,1.8019958771601786e-20
189.0,-1.1970443108073132,-1.197044310807314,-1.9564931694479364,0.5290348685030437,0.5290348685030437,-2.621290354396845e-22
188.0,-1.230482199193538,-1.2304821991935384,-1.9693858589034936,0.5204871901479644,0.5204871901479644,-1.8583726205187168e-20
187.0,-1.2626118533895225,-1.2626118533895216,-1.981936717597353,0.511602470374713,0.511602470374713,-3.636993334101083e-20
186.0,-1.293524935282701,-1.2935249352827005,-1.994158299148284,0.5023496938607405,0.5023496938607405,-1.0717833758355372e-20
185.0,-1.3233132249068091,-1.3233132249068098,-2.0060658549473493,0.4926922242161787,0.4926922242161787,-5.986461525507449e-21
184.0,-1.3520683448547564,-1.352068344854757,-2.0176770926311067,0.4825866377776503,0.4825866377776503,9.188820203801306e-21
183.0,-1.3798820775786906,-1.3798820775786909,-2.02901213278792,0.47198117588777566,0.47198117588777566,1.3094135541634756e-20
182.0,-1.4068471939914957,-1.4068471939914968,-2.0400936623746064,0.4608136837887271,0.4608136837887271,2.1953610050242256e-21
181.0,-1.4330587760671478,-1.4330587760671478,-2.050947298412139,0.4490088498298703,0.4490088498298703,-7.04055525993776e-21
180.0,-1.4586160696641859,-1.458616069664188,-2.0616021910478546,0.4364744847430019,0.4364744847430019,-6.613685017081824e-21
179.0,-1.4836249414858451,-1.4836249414858456,-2.0720919076325552,0.42309648889506146,0.42309648889506146,-3.807906091639277e-21
178.0,-1.5082010081544077,-1.5082010081544075,-2.0824556367834295,0.40873207034341347,0.40873207034341347,2.1390585383994713e-20
177.0,-1.5324733629227478,-1.532473362922748,-2.0927396942967826,0.39320080304670096,0.39320080304670096,9.917402661804342e-21
176.0,-1.5565882637353294,-1.5565882637353303,-2.10299908195893,0.3762736198718394,0.3762736198718394,7.76309527447197e-21
175.0,-1.580710328465534,-1.5807103284655335,-2.113298090306943,0.3576620204878013,0.3576620204878013,3.426896189159109e-21
174.0,-1.605013325944155,-1.6050133259441537,-2.123706625201523,0.337017384804596,0.337017384804596,5.0753317637124755e-21
173.0,-1.6296376099757002,-1.6296376099757004,-2.134282491883674,0.31397378679313637,0.31397378679313637,-2.1752980445745502e-21
172.0,-1.6545587368272179,-1.6545587368272179,-2.145015703084008,0.2883264027027451,0.2883264027027451,-1.0812032348385278e-21
171.0,-1.6792970572733603,-1.67929705727336,-2.1557034434828792,0.2604997614517079,0.2604997614517079,1.782371601781833e-21
170.0,-1.7026363331162413,-1.7026363331162395,-2.1658246970253665,0.2321607288620584,0.2321607288620584,7.075482328948874e-23
169.0,-1.7230654763603561,-1.7230654763603561,-2.174722241811916,0.20584677277420088,0.20584677277420088,-3.9822611911883183e-22
168.0,-1.7398791711847525,-1.7398791711847525,-2.182076780022942,0.18326368121295897,0.18326368121295897,-8.631854229197272e-22
167.0,-1.7533915453197528,-1.7533915453197515,-2.188009234404308,0.16457363523986068,0.16457363523986068,5.031146361751592e-22
166.0,-1.7642995657041518,-1.7642995657041518,-2.192811815858827,0.14915003623876794,0.14915003623876794,2.98833724130254e-22
165.0,-1.773245222161061,-1.7732452221610604,-2.1967579968019617,0.13626892886725497,0.13626892886725497,-4.738812527663406e-22
164.0,-1.780711957204491,-1.7807119572044903,-2.200055488614618,0.1253395448407091,0.1253395448407091,-3.047541503253681e-22
163.0,-1.787045085372524,-1.7870450853725244,-2.2028535856935867,0.11592264284185369,0.11592264284185369,-3.4121293869190706e-23
162.0,-1.792490713642842,-1.7924907136428432,-2.2052592412235996,0.1076979348942257,0.1076979348942257,2.1879507018553147e-22
161.0,-1.7972269906365559,-1.7972269906365563,-2.207350227043358,0.10043036554799459,0.1004303655479946,-7.642798443077312e-19
160.0,-1.8013856010686022,-1.801385601068603,-2.2091842682103198,0.09394473668216502,0.09394473668216502,3.667477294060677e-22
159.0,-1.80506600527119,-1.8050660052711898,-2.210805130243114,0.08810808831196831,0.08810808831196831,-1.1171056797153494e-22
158.0,-1.8083448703127414,-1.8083448703127414,-2.212246668878407,0.08281768626575514,0.08281768626575514,-1.7199845473752656e-23
157.0,-1.8112824018358102,-1.8112824018358098,-2.213535559031274,0.07799279894600142,0.07799279894600142,8.266576202699355e-25
156.0,-1.8139266747441891,-1.8139266747441893,-2.214693167283507,0.07356899515709864,0.07356899515709864,2.67369895155821e-23
155.0,-1.8163166545523706,-1.8163166545523695,-2.2157368620358873,0.0694941259429816,0.0694941259429816,1.350760461220926e-23
154.0,-1.818484346803457,-1.8184843468034568,-2.2166809480644067,0.0657254448493114,0.0657254448493114,1.576978753881856e-25
153.0,-1.8204563547487376,-1.82045635474874,-2.2175373455017935,0.062227509550244885,0.062227509550244885,-9.657822258132753e-24
152.0,-1.8222550278276932,-1.8222550278276928,-2.2183160916572717,0.058970628502966575,0.058970628502966575,-4.4872555731562115e-24
151.0,-1.8238993220369413,-1.8238993220369402,-2.219025717820208,0.05592969393628682,0.05592969393628682,-8.509636751860542e-24
150.0,-1.8254054551614796,-1.8254054551614785,-2.2196735368245917,0.053083289725292006,0.053083289725292006,1.6779657401508092e-21
149.0,-1.8267874056650573,-1.826787405665058,-2.220265862705507,0.05041301936618826,0.05041301936618826,7.627586795894309e-22
148.0,-1.8280573139240128,-1.8280573139240133,-2.220808187273456,0.04790294886096737,0.04790294886096737,-1.0297652868922317e-22
147.0,-1.8292257865367916,-1.8292257865367918,-2.2213053147860955,0.04553920003542753,0.04553920003542753,-1.0297652868922317e-22
146.0,-1.8303021452417438,-1.8303021452417436,-2.221761472087084,0.04330960965929462,0.043309609659294625,-1.158373054676303e-18
145.0,-1.8312946260153284,-1.831294626015329,-2.222180396936656,0.04120345864640027,0.04120345864640028,-1.6944063444656278e-18
144.0,-1.832210540803814,-1.8322105408038147,-2.2225654099136793,0.0392112523149743,0.039211252314974306,3.2323871881631166e-20
143.0,-1.8330564099963937,-1.833056409996394,-2.2229194734323032,0.037324540647346215,0.03732454064734623,-1.6840336549920922e-18
142.0,-1.833838071772965,-1.8338380717729652,-2.2232452405573424,0.035535770168661766,0.035535770168661766,-4.1275772049108845e-22
141.0,-1.8345607730140514,-1.8345607730140518,-2.2235450956727774,0.03383816103181823,0.03383816103181823,2.2139942275288866e-22
140.0,-1.8352292453900758,-1.8352292453900758,-2.223821188591129,0.032225604355658015,0.032225604355658015,1.5438854488572367e-23
139.0,-1.8358477694465827,-1.8358477694465825,-2.224075463341593,0.030692575957478443,0.030692575957478443,4.383507789611773e-22
138.0,-1.8364202288971438,-1.8364202288971438,-2.2243096826105027,0.029234063448560336,0.029234063448560336,2.2686472088485987e-22
137.0,-1.836950156874706,-1.8369501568747058,-2.2245254486056947,0.02784550429313416,0.02784550429313416,1.535148834546519e-23
136.0,-1.8374407755374114,-1.8374407755374111,-2.2247242209609057,0.026522732917443698,0.026522732917443698,1.535148834546519e-23
135.0,-1.8378950301500878,-1.8378950301500874,-2.2249073321757264,0.025261935332801435,0.025261935332801435,1.896992597158037e-23
134.0,-1.838315618547799,-1.8383156185477993,-2.2250760009920985,0.024059610031395413,0.024059610031395413,1.2475988362316926e-22
133.0,-1.8387050167187662,-1.8387050167187668,-2.2252313440341016,0.02291253414573311,0.02291253414573311,1.2475988362316926e-22
132.0,-1.8390655011100148,-1.8390655011100159,-2.225374385978664,0.0218177340465606,0.0218177340465606,1.8952759171668564e-23
131.0,-1.83939916815227,-1.8393991681522694,-2.2255060684777317,0.020772459700815808,0.020772459700815808,-3.395447628875136e-23
130.0,-1.8397079514148302,-1.8397079514148298,-2.225627258014602,0.019774162228895605,0.019774162228895605,1.6547636633906057e-23
129.0,-1.8399936367319873,-1.8399936367319865,-2.2257387528464414,0.018820474195518706,0.018820474195518706,7.057125311477472e-23
