T,rho_B,mu_B,P
50.0,1.8,1033.3249364336018,21.544051675279544
50.0,1.81,1033.0748130970014,21.543685622868082
50.0,1.82,1032.843664231905,21.543345466441504
50.0,1.83,1032.6319802620276,21.543032239404855
50.0,1.84,1032.4402492754061,21.542746983616478
50.0,1.85,1032.2689555608472,21.542490747122777
50.0,1.86,1032.1185780431886,21.542264581681394
50.0,1.87,1031.9895886211054,21.542069540073737
50.0,1.88,1031.8824504127595,21.541906673209713
50.0,1.89,1031.7976159165532,21.541777027031994
50.0,1.9,1031.7355250960804,21.541681639228912
50.0,1.91,1031.6966034004336,21.541621535770062
50.0,1.92,1031.6812597330593,21.54159772728164
50.0,1.93,1031.6898843844053,21.541611205283086
50.0,1.94,1031.722846945618,21.541662938310033
50.0,1.95,1031.78049422233,21.541753867952995
50.0,1.96,1031.8631481694024,21.541884904844437
50.0,1.97,1031.9711038687808,21.54205692463128
50.0,1.98,1032.104627573851,21.542270763971384
50.0,1.99,1032.2639548444004,21.542527216597065
50.0,2.0,1032.4492887965641,21.54282702948869
50.0,2.01,1032.660798492056,21.54317089920399
50.0,2.02,1032.898617490201,21.54355946840792
50.0,2.03,1033.1628425851763,21.543993322648088
50.0,2.04,1033.4535327489057,21.54447298741808
50.0,2.05,1033.770708298021,21.544998925549834
50.0,2.06,1034.1143503002197,21.54557153497077
50.0,2.07,1034.4844002323152,21.546191146858614
50.0,2.08,1034.8807598985502,21.54685802421996
50.0,2.09,1035.3032916138666,21.547572360913698
50.0,2.1,1035.7518186528043,21.548334281132817
50.0,2.11,1036.2261259604447,21.549143839352002
50.0,2.12,1036.7259611178279,21.550001020740122
50.0,2.13,1037.251035550285,21.55090574203053
50.0,2.14,1037.8010259634132,21.551857852834505
50.0,2.15,1038.375575988228,21.552857137376424
50.0,2.16,1038.9742980140663,21.55390331662406
50.0,2.17,1039.5967751855862,21.554996050780865
50.0,2.18,1040.2425635383806,21.55613494210388
50.0,2.19,1040.9111942466004,21.557319538006578
50.0,2.2,1041.6021759553719,21.55854933440373
50.0,2.21,1042.3149971708503,21.55982377925382
50.0,2.22,1043.0491286812482,21.56114227625403
50.0,2.23,1043.8040259832703,21.562504188643043
50.0,2.24,1044.579131689834,21.563908843068397
50.0,2.25,1045.3738778968143,21.565355533476694
50.0,2.26,1046.187688488639,21.56684352498809
50.0,2.27,1047.0199813649492,21.568372057719216
50.0,2.28,1047.8701705729272,21.569940350522277
50.0,2.29,1048.737668332454,21.57154760461218
50.0,2.3,1049.6218869437687,21.573193007057053
50.0,2.31,1050.522240569709,21.574875734111583
50.0,2.32,1051.4381468869765,21.57659495437697
50.0,2.33,1052.3690286030187,21.578349831774325
50.0,2.34,1053.3143148371473,21.58013952832256
50.0,2.35,1054.2734423662405,21.581963206714853
50.0,2.36,1055.2458567370268,21.583820032690785
50.0,2.37,1056.231013248246,21.585709177204052
50.0,2.38,1057.2283778071203,21.587629818388102
50.0,2.39,1058.2374276655548,21.589581143323603
50.0,2.4,1059.25765204212,21.59156234961435
50.0,2.41,1060.2885526364928,21.593572646778327
50.0,2.42,1061.3296440433542,21.59561125746303
50.0,2.43,1062.380454072995,21.59767741849394
50.0,2.44,1063.4405239859511,21.599770381766362
50.0,2.45,1064.5094086489855,21.601889414990904
50.0,2.46,1065.5866766195943,21.60403380230283
50.0,2.47,1066.6719101660683,21.60620284474618
50.0,2.48,1067.7647052297948,21.60839586064285
50.0,2.49,1068.864671336286,21.61061218585661
50.0,2.5,1069.971431460983,21.612851173962273
50.0,2.51,1071.0846218555826,21.6151121963291
50.0,2.52,1072.2038918401968,21.617394642127547
50.0,2.53,1073.3289035663245,21.61969791826778
50.0,2.54,1074.4593317551744,21.622021449278048
50.0,2.55,1075.5948634155156,21.62436467713
50.0,2.56,1076.7351975448746,21.626727061018276
50.0,2.57,1077.8800448175027,21.629108077100327
50.0,2.58,1079.0291272622308,21.63150721820252
50.0,2.59,1080.1821779329828,21.633923993497838
50.0,2.6,1081.3389405744238,21.63635792815989
50.0,2.61,1082.4991692849285,21.63880856299781
50.0,2.62,1083.662628178801,21.64127545407588
50.0,2.63,1084.8290910494316,21.643758172321334
50.0,2.64,1085.9983410348405,21.64625630312385
50.0,2.65,1087.170170286884,21.648769445929066
50.0,2.66,1088.3443796451684,21.651297213829046
50.0,2.67,1089.520778316619,21.653839233151604
50.0,2.68,1090.6991835614078,21.656395143050485
50.0,2.69,1091.8794203859086,21.658964595098116
50.0,2.7,1093.061321243146,21.661547252882237
50.0,2.71,1094.2447257411432,21.664142791607816
50.0,2.72,1095.4294803594748,21.66675089770505
50.0,2.73,1096.6154381742197,21.669371268444614
50.0,2.74,1097.8024585914704,21.672003611560534
50.0,2.75,1098.9904070894754,21.674647644881677
50.0,2.76,1100.1791549694312,21.67730309597196
50.0,2.77,1101.3685791149012,21.679969701779818
50.0,2.78,1102.558561759796,21.682647208297283
50.0,2.79,1103.7489902648142,21.685335370228618
50.0,2.8,1104.9397569022217,21.688033950668906
50.0,2.81,1106.130758648792,21.69074272079239
50.0,2.82,1107.3218969867678,21.693461459550758
50.0,2.83,1108.5130777126265,21.696189953381264
50.0,2.84,1109.704210753459,21.698927995924567
50.0,2.85,1110.8952099907497,21.701675387752132
50.0,2.86,1112.0859930913357,21.70443193610334
50.0,2.87,1113.2764813453189,21.707197454631487
50.0,2.88,1114.4665995107143,21.709971763159405
50.0,2.89,1115.6562756645899,21.712754687443542
50.0,2.9,1116.8454410604843,21.715546058946998
50.0,2.91,1118.0340299918696,21.718345714620977
50.0,2.92,1119.2219796614309,21.721153496694356
50.0,2.93,1120.4092300559491,21.723969252471324
50.0,2.94,1121.5957238265646,21.72679283413679
50.0,2.95,1122.7814061742101,21.72962409856913
50.0,2.96,1123.9662247400054,21.732462907160375
50.0,2.97,1125.1501295004139,21.735309125643244
50.0,2.98,1126.333072666958,21.738162623924993
50.0,2.99,1127.5150085903108,21.741023275927763
50.0,3.0,1128.695893668574,21.743890959435273
