T,mu_B,S,chi_TT,rho,chi_mumu,chi_Tmu,P,Cv,Cp,cs,Xi2,eta_s,zeta_s
122.89,873.4283499999999,0.670693973442511,12.89680673362929,0.08028770484482223,0.21334853342588334,1.4808152996282047,21.647444746904075,1.630846550229195,1.8960490900580111,0.045439542341504977,1.3602931060939727,2.73686599728209,0.38857289162976333
122.9,873.4283499999999,0.671347963013059,12.913551012279711,0.08036279768965682,0.21363054316997898,1.4827996058617146,21.647478751915877,1.63271358770309,1.898365778446251,0.045422523429321564,1.3608217351913676,2.7330204254428114,0.38869097945699105
122.90999999999998,873.4283499999999,0.6720028019403568,12.930327462039813,0.08043799119744299,0.2139131654385098,1.4847880658034622,21.647512790091078,1.6345834066346534,1.900686399029632,0.045405487152712413,1.3613513202492538,2.7291775899497766,0.38880929937715875
122.92,873.4283499999999,0.6726584918570331,12.947136175128136,0.08051328557900223,0.21419640224008218,1.4867806924609575,21.647546861472815,1.6364560129401384,1.9030109619995164,0.04538843348364433,1.361881863885021,2.7253374895646068,0.388927852108525
122.93,873.4283499999999,0.673315034400487,12.963977244133147,0.08058868104582961,0.21448025559229422,1.4887774988978553,21.647580966104265,1.6383314125524486,1.905339477584808,0.04537136239401334,1.3624133687267739,2.7215001230469174,0.3890466383727129
122.94,873.4283499999999,0.6739724312126683,12.980850762013901,0.08066417781005836,0.2147647275217588,1.4907784982337944,21.647615104028628,1.6402096114236508,1.9076719560554425,0.0453542738556364,1.3629458374133927,2.7176654891561514,0.38916565889476007
122.95,873.4283499999999,0.6746306839404026,12.997756822104321,0.08073977608451943,0.2150498200641784,1.4927837036455127,21.647649275289265,1.6420906155202422,1.9100084077158563,0.04533716784025701,1.3634792725945943,2.71383358664851,0.3892849144029873
122.95999999999998,873.4283499999999,0.6752897942351774,13.014695518116199,0.08081547608268652,0.2153355352644204,1.4947931283662648,21.647683479929587,1.6439744308323134,1.9123488429174056,0.04532004431953738,1.3640136769309834,2.710004414280479,0.38940440562923934
122.97,873.4283499999999,0.6759497637532212,13.0316669441372,0.08089127801872004,0.2156218751764447,1.496806785686596,21.6477177179931,1.645861063363455,1.9146932720445515,0.045302903265065496,1.364549053094121,2.7061779708052076,0.3895241333085771
122.98,873.4283499999999,0.6766105941555884,13.048671194635844,0.08096718210745307,0.21590884186354997,1.4988246889549295,21.647751989523382,1.6477505191361632,1.9170417055235247,0.04528574464835097,1.3650854037665725,2.702354254975596,0.3896440981796777
122.99,873.4283499999999,0.6772722871081429,13.065708364462921,0.08104318856439113,0.216196437398273,1.5008468515771405,21.64778629456413,1.6496428041933975,1.919394153823222,0.04526856844082993,1.365622731641975,2.698533265542775,0.3897643009846754
123.0,873.4283499999999,0.6779348442814648,13.082778548853284,0.08111929760572595,0.2164846638624569,1.502873287017552,21.647820633159046,1.6515379245931359,1.9217506274479268,0.04525137461385131,1.3661610394250974,2.694715001255448,0.38988474246895716
123.01,873.4283499999999,0.6785982673510809,13.09988184342761,0.0811955094483311,0.21677352334741484,1.5049040087990413,21.647855005351992,1.653435886413464,1.9241111369457278,0.045234163138694154,1.3667003298318956,2.690899460861882,0.39000542338166977
123.02,873.4283499999999,0.6792625579973488,13.117018344195827,0.08127182430976881,0.21706301795385086,1.5069390305032062,21.647889411186895,1.655336695750896,1.926475692904651,0.04521693398655584,1.3672406055895756,2.687086643107904,0.3901263444753248
123.03,873.4283499999999,0.679927717905473,13.134188147556486,0.08134824240829075,0.21735314979201115,1.508978365771,21.647923850707794,1.6572403587190467,1.9288443059523026,0.045199687128555044,1.3677818694366592,2.683276546738293,0.39024750650604345
123.04,873.4283499999999,0.6805937487655243,13.151391350302376,0.08142476396283616,0.21764392098168606,1.5110220283024987,21.647958323958722,1.6591468814542043,1.9312169867620659,0.045182422535728135,1.368324124123038,2.6794691704963096,0.3903689102334674
123.05,873.4283499999999,0.6812606522725781,13.168628049620608,0.08150138919304462,0.21793533365225715,1.513070031858227,21.647992830983895,1.6610562701053118,1.9335937460415331,0.04516514017903371,1.368867372410038,2.6756645131230306,0.3904905564207899
123.06,873.4283499999999,0.6819284301265469,13.18589834309256,0.08157811831926426,0.2182273899428242,1.515122390258444,21.64802737182757,1.662968530843959,1.935974594544368,0.045147840029351856,1.3694116170704878,2.671862573358216,0.3906124458348481
123.07,873.4283499999999,0.6825970840323934,13.203202328700925,0.08165495156251429,0.21852009200214284,1.5171791173839644,21.64806194653411,1.664883669859772,1.938359543065893,0.04513052205748484,1.3699568608887709,2.6680633499406907,0.3907345792461868
123.08,873.4283499999999,0.6832666157000009,13.220540104829183,0.08173188914456142,0.2188134419888399,1.5192402271767005,21.64809655514792,1.6668016933618794,1.9407486024429006,0.04511318623414512,1.3705031066608997,2.6642668416064343,0.39085695742881593
123.09,873.4283499999999,0.6839370268442457,13.237911770260993,0.08180893128784456,0.2191074420712793,1.5213057336396982,21.648131197713575,1.6687226075741923,1.9431417835503646,0.045095832529974615,1.3710503571945702,2.6604730470906928,0.39097958116054843
123.1,873.4283499999999,0.6846083191850476,13.255317424189869,0.08188607821553295,0.2194020944277919,1.5233756508375027,21.648165874275655,1.6706464187451828,1.9455390973116509,0.045078460915523415,1.3715986153092303,2.6566819651266567,0.3911024512227846
123.11,873.4283499999999,0.6852804944473028,13.272757166212216,0.08196333015150842,0.2196974012466537,1.5254499928964425,21.648200584878875,1.6725731331404254,1.9479405546906428,0.04506107136126709,1.3721478838361472,2.652893594446192,0.3912255684007234
123.12,873.4283499999999,0.6859535543610527,13.29023109633637,0.08204068732035741,0.21999336472612008,1.5275287740055408,21.648235329567985,1.6745027570413802,1.9503461666905,0.04504366383759747,1.372698165618465,2.6491079337796077,0.3913489334832942
123.13,873.4283499999999,0.6866275006613511,13.30773931498311,0.08211814994740413,0.22028998707453407,1.5296120084157625,21.648270108387916,1.6764352967554896,1.95275594436463,0.04502623831482198,1.373249463511275,2.645324981854977,0.39147254726309094
123.14,873.4283499999999,0.6873023350884022,13.325281922984814,0.08219571825868427,0.2205872705103742,1.5316997104415826,21.648304921383602,1.67837075860351,1.9551698988035815,0.04500879476317056,1.3738017803816838,2.641544737399519,0.3915964105366459
