rho_B,mu_B,eB
2.66,1098.7469947406528,0.05
2.67,1099.8233785052973,0.05
2.68,1100.897309136513,0.05
2.69,1101.968949398872,0.05
2.7,1103.0384626268524,0.05
2.71,1104.1060121250546,0.05
2.72,1105.1717606375398,0.05
2.73,1106.2358698793216,0.05
2.74,1107.298500123549,0.05
2.75,1108.359809838462,0.05
2.76,1109.4199553687017,0.05
2.77,1110.4790906560459,0.05
2.78,1111.537366995133,0.05
2.79,1112.594932820138,0.05
2.8,1113.6519335188182,0.05
2.81,1114.7085112706989,0.05
2.82,1115.7648049065297,0.05
2.83,1116.820949786472,0.05
2.84,1117.8770776947426,0.05
2.85,1118.9333167487537,0.05
2.86,1119.9897913209566,0.05
2.87,1121.0466219718778,0.05
2.88,1122.1039253929762,0.05
2.89,1123.161814358137,0.05
2.9,1124.220397682759,0.05
2.91,1125.2797801895103,0.05
2.92,1126.3400626799566,0.05
2.93,1127.4013419113162,0.05
2.94,1128.4637105777215,0.05
2.95,1129.527257295387,0.05
2.96,1130.5920665911606,0.05
2.97,1131.6582188939642,0.05
2.98,1132.7257905286485,0.05
2.99,1133.7948537118411,0.05
3.0,1134.8654765493427,0.05
3.01,1135.937723034672,0.05
3.02,1137.0116530483458,0.05
3.03,1138.0873223574956,0.05
3.04,1139.1647826154356,0.05
3.05,1140.2440813607873,0.05
3.06,1141.3252620157994,0.05
3.07,1142.4083638834993,0.05
3.08,1143.4934221433543,0.05
3.09,1144.5804678451307,0.05
3.1,1145.6695279007004,0.05
3.11,1146.7606250735819,0.05
3.12,1147.853777966068,0.05
3.13,1148.9490010038699,0.05
3.14,1150.0463044182864,0.05
3.15,1151.145694226018,0.05
3.16,1152.2471722068378,0.05
3.17,1153.3507358794752,0.05
3.18,1154.456378476186,0.05
3.19,1155.564088916628,0.05
3.2,1156.67385178181,0.05
3.21,1157.7856472890392,0.05
3.22,1158.8994512689337,0.05
3.23,1160.0152351457346,0.05
3.24,1161.132965922284,0.05
3.25,1162.2526061711756,0.05
3.26,1163.3741140337163,0.05
3.27,1164.4974432284173,0.05
3.28,1165.6225430708387,0.05
3.29,1166.749358506638,0.05
3.3,1167.8778301597142,0.05
3.31,1169.0078943972985,0.05
3.32,1170.139483413805,0.05
3.33,1171.2725253351455,0.05
3.34,1172.4069443450662,0.05
3.35,1173.5426608348844,0.05
3.36,1174.679591577755,0.05
3.37,1175.8176499283438,0.05
3.38,1176.9567460484363,0.05
3.39,1178.096787158693,0.05
3.4,1179.2376778163507,0.05
3.41,1180.3793202182853,0.05
3.42,1181.5216145284242,0.05
3.43,1182.6644592280634,0.05
3.44,1183.8077514872439,0.05
3.45,1184.9513875549055,0.05
3.46,1186.0952631651796,0.05
3.47,1187.239273956811,0.05
3.48,1188.3833159024073,0.05
3.49,1189.5272857439422,0.05
3.5,1190.6710814307585,0.05
3.51,1191.8146025561684,0.05
3.52,1192.957750788683,0.05
3.53,1194.1004302939118,0.05
3.54,1195.2425481432363,0.05
3.55,1196.3840147054975,0.05
3.56,1197.5247440181413,0.05
3.57,1198.6646541345187,0.05
3.58,1199.8036674443442,0.05
3.59,1200.9417109646627,0.05
3.6,1202.0787165990603,0.05
3.61,1203.2146213632484,0.05
3.62,1204.3493675755835,0.05
3.63,1205.4829030114827,0.05
3.64,1206.6151810211422,0.05
3.65,1207.7461606103338,0.05
3.66,1208.87580648447,0.05
3.67,1210.0040890564592,0.05
3.68,1211.1309844192053,0.05
3.69,1212.2564742838952,0.05
3.7,1213.3805458854647,0.05
